"name","taxon","phylum","source"
"Bacteroides sp. 3_1_33FAA","457391","Bacteroidetes","HMP_2018"
"Ruminococcus torques ATCC 27756","411460","Firmicutes","HMP_2018"
"Bifidobacterium longum subsp. infantis ATCC 15697","391904","Actinobacteria","HMP_2018"
"Enterococcus faecalis TX1342","749515","Firmicutes","HMP_2018"
"Helicobacter pylori GAM115Ai","1159025","Proteobacteria","HMP_2018"
"Corynebacterium sp. HFH0082","1078764","Actinobacteria","HMP_2018"
"Escherichia coli MS 79-10","796392","Proteobacteria","HMP_2018"
"Lactobacillus helveticus DSM 20075","585520","Firmicutes","HMP_2018"
"Ruminococcus sp. 5_1_39BFAA","457412","Firmicutes","HMP_2018"
"Helicobacter bilis ATCC 43879","613026","Proteobacteria","HMP_2018"
"Fusobacterium periodonticum 2_1_31","469599","Fusobacteria","HMP_2018"
"Escherichia coli MS 21-1","749527","Proteobacteria","HMP_2018"
"Sutterella wadsworthensis HGA0223","1203554","Proteobacteria","HMP_2018"
"Lactobacillus rhamnosus GG","568703","Firmicutes","HMP_2018"
"Coprococcus sp. HPP0074","1078090","Firmicutes","HMP_2018"
"Helicobacter pylori HP260ASii","1159078","Proteobacteria","HMP_2018"
"Fusobacterium gonidiaformans ATCC 25563","469615","Fusobacteria","HMP_2018"
"Lactobacillus reuteri MM4-1A","548485","Firmicutes","HMP_2018"
"Eubacterium siraeum 70/3","657319","Firmicutes","HMP_2018"
"Escherichia coli MS 117-3","749539","Proteobacteria","HMP_2018"
"Lactobacillus amylolyticus DSM 11664","585524","Firmicutes","HMP_2018"
"Bacteroides fragilis 3_1_12","457424","Bacteroidetes","HMP_2018"
"Faecalibacterium prausnitzii L2-6","718252","Firmicutes","HMP_2018"
"Fusobacterium nucleatum subsp. animalis D11","556264","Fusobacteria","HMP_2018"
"Providencia alcalifaciens DSM 30120","520999","Proteobacteria","HMP_2018"
"Erysipelotrichaceae bacterium 2_2_44A","457422","Firmicutes","HMP_2018"
"Helicobacter pylori GAM260ASi","1159044","Proteobacteria","HMP_2018"
"Streptomyces sp. HPH0547","1203592","Actinobacteria","HMP_2018"
"Propionibacterium sp. 5_U_42AFAA","450748","Actinobacteria","HMP_2018"
"Erysipelotrichaceae bacterium 6_1_45","469614","Firmicutes","HMP_2018"
"Clostridium sp. SS2/1","411484","Firmicutes","HMP_2018"
"Propionibacterium sp. HGH0353","1203571","Actinobacteria","HMP_2018"
"Klebsiella sp. 1_1_55","244366","Proteobacteria","HMP_2018"
"Providencia rettgeri DSM 1131","521000","Proteobacteria","HMP_2018"
"Anaerostipes hadrus DSM 3319","649757","Firmicutes","HMP_2018"
"Fusobacterium mortiferum ATCC 9817","469616","Fusobacteria","HMP_2018"
"Pseudoflavonifractor capillosus ATCC 29799","411467","Firmicutes","HMP_2018"
"Escherichia coli MS 16-3","749542","Proteobacteria","HMP_2018"
"Leuconostoc mesenteroides subsp. cremoris ATCC 19254","586220","Firmicutes","HMP_2018"
"Helicobacter pylori GAM252T","1159042","Proteobacteria","HMP_2018"
"Bifidobacterium longum subsp. longum ATCC 55813","548480","Actinobacteria","HMP_2018"
"Helicobacter pylori GAM120Ai","1159029","Proteobacteria","HMP_2018"
"Escherichia sp. 1_1_43","457400","Proteobacteria","HMP_2018"
"Klebsiella pneumoniae subsp. pneumoniae WGLW3","1203546","Proteobacteria","HMP_2018"
"Escherichia coli MS 78-1","749532","Proteobacteria","HMP_2018"
"Helicobacter pylori GAM112Ai","1159023","Proteobacteria","HMP_2018"
"Clostridium hylemonae DSM 15053","553973","Firmicutes","HMP_2018"
"Ruminococcaceae bacterium D16","552398","Firmicutes","HMP_2018"
"Faecalibacterium prausnitzii M21/2","411485","Firmicutes","HMP_2018"
"Eubacterium sp. 3_1_31","457402","Firmicutes","HMP_2018"
"Paenibacillus sp. HGF5","908341","Firmicutes","HMP_2018"
"Bacteroides sp. 1_1_6","818","Bacteroidetes","HMP_2018"
"Butyricicoccus pullicaecorum 1.2","1203606","Firmicutes","HMP_2018"
"Helicobacter pylori GAM254Ai","1159043","Proteobacteria","HMP_2018"
"Corynebacterium ammoniagenes DSM 20306","649754","Actinobacteria","HMP_2018"
"Lactobacillus acidophilus ATCC 4796","525306","Firmicutes","HMP_2018"
"Blautia hansenii DSM 20583","537007","Firmicutes","HMP_2018"
"Lactobacillus paracasei subsp. paracasei ATCC 25302","525337","Firmicutes","HMP_2018"
