Species,CSUR number,Phylum,Category,C,D,E,F,G,H,I,J,K,N° of Id
Lactobacillus ingluviei,CSURP209,Firmicutes,NH,,,,X,,2,,,,3
Lactobacillus johnsonii,CSURP1201,Firmicutes,H(GUT),,,X,1,,,,,,2
Lactobacillus kalixensis,CSURP1202,Firmicutes,H(GUT),,X,,,,,,,,1
Lactobacillus kefiri,CSURP1361,Firmicutes,NH,,,X,,,,,,,1
Lactobacillus mali,ND,Firmicutes,NH,,,,,,,,,X,1
Lactobacillus mucosae,CSURP1291,Firmicutes,H(GUT),,1,1,,,,,,,3
Lactobacillus murinus,CSURP1019,Firmicutes,H,,,X,,,,,,,1
Lactobacillus oligofermentans,ND,Firmicutes,NH,,X,,,,,,,,1
Lactobacillus oris,CSURP1256,Firmicutes,H,,,X,,,1,,,,2
Lactobacillus otakiensis,ND,Firmicutes,NH,,,,X,,2,,,,3
Lactobacillus parabuchneri,CSURP1247,Firmicutes,H,,X,1,2,,2,,,,6
Lactobacillus paracasei,CSURP664,Firmicutes,H(GUT),5,14,1,4,1,2,,,,28
Lactobacillus pentosus,CSURP1258,Firmicutes,NH,,1,1,,,2,,X,,5
Lactobacillus perolens,CSURP1358,Firmicutes,NH,,X,1,1,,2,,,,5
Lactobacillus plantarum,CSURP691,Firmicutes,H(GUT),X,5,2,1,,2,,,,11
Lactobacillus reuteri,CSURP1122,Firmicutes,H(GUT),,X,1,,1,,,,,3
Lactobacillus rhamnosus,CSURP567,Firmicutes,H(GUT),2,2,1,,1,2,,,,9
Lactobacillus ruminis,CSURP908,Firmicutes,H(GUT),,,,7,,,,,,8
Lactobacillus saerimneri,ND,Firmicutes,H(GUT),,,,,,,,,X,1
Lactobacillus sakei,CSURP1130,Firmicutes,H(GUT),,X,,1,,2,,,,4
Lactobacillus salivarius,CSURP1112,Firmicutes,H(GUT),X,1,2,1,,,,,,5
Lactobacillus satsumensis,CSURP2090,Firmicutes,NH,,,,,,X,,,,1
Lactobacillus ultunensis,ND,Firmicutes,H(GUT),,X,,,,,,,,1
Lactobacillus vaccinostercus,CSURP104,Firmicutes,NH,,,,,,X,,,,1
Lactobacillus vaginalis,ND,Firmicutes,H(GUT),,,X,,,2,,,,3
Lactobacillus zeae,CSURP1192,Firmicutes,H,,,,X,,2,,,,3
Lactococcus garvieae,CSURP1376,Firmicutes,H(GUT),5,11,1,1,,,,,,19
Lactococcus lactis,CSURP2235,Firmicutes,H(GUT),5,7,1,3,,2,,,,19
Lactonifactor longoviformis ,CSURP2234,Firmicutes,H(GUT),,X,,,,,,,,1
Lagierella massiliensis,CSURP2012,Firmicutes,NS,,X,,,,,,,,1
Lascolabacillus massiliensis,CSURP1560,Bacteroidetes,NS,,X,,,,,,,,1
Leclercia adecarboxylata,CSURP600,Proteobacteria,H(GUT),,,,1,X,,,,,2
Lelliottia amnigena,CSURP1459,Proteobacteria,H,,,,,,X,,,,1
Lentibacillus massiliensis,CSURP3089,Firmicutes,NS,,,,,,,,X,,1
Leptotrichia buccalis,CSURP2764,Fusobacteria,H,,,,,,,,,X,1
Leptotrichia massiliensis,CSURP3007,Fusobacteria,H,,X,,,,,,,,1
Leuconostoc lactis,CSURP1191,Firmicutes,H(GUT),X,,,,,,,,,1
Leuconostoc mesenteroides,CSURP1252,Firmicutes,H(GUT),,,,,,X,,,,1
Leuconostoc pseudomesenteroides,ND,Firmicutes,H,,,,,,X,,,,1
Listeria innocua,ND,Firmicutes,H(GUT),,X,,,,,,,,1
Lysinibacillus boronitolerans,CSURP1153,Firmicutes,NH,,X,,,,,,,,1
Lysinibacillus fusiformis,CSURP569,Firmicutes,H(GUT),5,31,2,1,,2,,,,42
Lysinibacillus macroides,CSURP2661,Firmicutes,NH,,X,,,,,,,,1
Lysinibacillus massiliensis,CSURP1245,Firmicutes,H(GUT),3,4,,,,,,,,8
Lysinibacillus meyeri,CSURP1154,Firmicutes,NH,X,2,,,,,,,,3
Lysinibacillus sphaericus,CSURP827,Firmicutes,NH,1,13,1,,,2,,,,18
Lysinibacillus varians,CSURP2094,Firmicutes,NH,,,,,,X,,,,1
Lysinibacillus xylanilyticus,CSURP1246,Firmicutes,NH,,X,,,,,,,,1
Macellibacteroides fermentans,CSURP1448,Bacteroidetes,NH,X,5,1,,,,,,,7
Malnutritionisia massiliensis,CSURP1907,Firmicutes,NS,,X,,,,,,,,1
Marseilla massiliensis,CSURP2745,Bacteroidetes,NS,,,,,,,,,X,1
Marseillobacter massiliensis,CSURP2840,Firmicutes,NS,,,,X,,,,,,1
Marseillococcus timonensis,CSURP2399,Firmicutes,NS,,,X,,,,,,,1
Massilia timonae,CSURP255,Firmicutes,H,X,,,,,,,,,1
Massilioamazonia massiliensis,CSURP1110,Firmicutes,NS,,X,,,,,,,,1
Massiliobacillus massiliensis,CSURP2411,Firmicutes,NS,,X,,,,,,,,1
Massiliobacterium senegalense,CSURP1510,Firmicutes,NS,,X,,,,,,,,1
Massilioculturomica massiliensis,CSURP2935,Firmicutes,NS,,,,,,,,,X,1
Massiliomaliae massiliensis,CSURP2963,Firmicutes,NS,,X,,,,,,,,1
Massiliomicrobiota timonensis,CSURP2264,Firmicutes,NS,,,,X,,,,,,1
Massiliomicrobiota timonensis ,CSURP2264,Firmicutes,newspe,,,,X,,,,,,1
Massilioprevotella massiliensis,CSURP2439,Bacteroidetes,NS,,,,X,,,,,,1
Mediannikovella massiliensis,CSURP1934,Firmicutes,NS,,X,,,,,,,,1
Mediterranea massiliensis,CSURP2645,Bacteroidetes,NS,,,,,,,,,X,1
Megasphaera massiliensis,CSURP245,Firmicutes,NS,X,,,,,,,,,1
Megasphaera micronuciformis,ND,Firmicutes,H(GUT),,1,,,,,,,X,1
Metaprevotella massiliensis,CSURP3114,Bacteroidetes,NS,,,,,,,,,X,1
Microbacterium kitamiense,CSURP789,Actinobacteria,NH,X,1,,1,,,,,,3
Microbacterium liquefaciens,ND,Actinobacteria,H,,,,X,,2,,,,3
Microbacterium maritypicum,ND,Actinobacteria,NH,,,,X,,,,,,1
Microbacterium natoriense,ND,Actinobacteria,NH,X,,,,,,,,,1
Microbacterium oleivorans,CSURP911,Actinobacteria,H,,2,,,,,,,,3
Microbacterium oxydans,CSURP1352,Actinobacteria,H,,,,X,,2,,,,3
Microbacterium paraoxydans,CSURP1077,Actinobacteria,H,,,,,,,,X,,1
Microbacterium phyllosphaerae,CSURP2093,Actinobacteria,H,,X,,,,,,,,1
Microbacterium saccharophilum,CSURP2065,Actinobacteria,NH,,,,,,X,,,,1
Micrococcus endophyticus,ND,Actinobacteria,NH,,,X,,,,,,,1
Micrococcus luteus,CSURP638,Actinobacteria,H(GUT),12,37,2,7,,2,,,,61
Micrococcus lylae,CSURP562,Actinobacteria,H,4,4,,,,,,,,9
Micromassilia timonensis,CSURP2133,Firmicutes,NS,,,,X,,,,,,1
Mitsuokella jalaludinii,CSURP2245,Firmicutes,NH,,,,X,,,,,,1
Mobilicoccus massiliensis,CSURP1306,Actinobacteria,NS,,X,,,,,,,,1
Mobilobacillus massiliensis,CSURP2510,Firmicutes,NS,,,,X,,,,,,1
Moellerella wisconsensis,CSURP296,Proteobacteria,H(GUT),,,,,,X,,,,1
Moraxella osloensis,CSURP768,Proteobacteria,H,3,7,,,,,,,,11
Morganella morganii,CSURP213,Proteobacteria,H(GUT),1,8,2,1,1,2,,,,16
Murdochiella asaccharolytica,CSURP2387,Firmicutes,H(GUT),X,4,,1,,,,,,6
Murdochiella massiliensis,CSURP1987,Firmicutes,NS,,X,,1,,,,,,2
Murdochiella timonensis,CSURP2433,Firmicutes,H,,,,X,,,,,,1
Mycobacterium avium,ND,Actinobacteria,H(GUT),,,X,1,,,,,,2
Mycobacterium bovis,ND,Actinobacteria,H(GUT),,,,X,,,,,,1
Mycobacterium colombiense,CSURP297,Actinobacteria,H(GUT),,,,X,,,,,,1
Mycobacterium kansasii,ND,Actinobacteria,H(GUT),,,,X,,,,,,1
Mycobacterium lentiflavum,ND,Actinobacteria,H(GUT),,,,X,,,,,,1
Mycobacterium paratuberculosis,ND,Actinobacteria,H(GUT),,,X,,,,,,,1
Mycobacterium tuberculosis,ND,Actinobacteria,H(GUT),,,,X,,,,,,1
Myroides odoratimimus,CSURP1203,Bacteroidetes,H,,,X,,,,,,,1
Myroides odoratus,ND,Bacteroidetes,H,,,X,,,,,,,1
Ndiopella massiliensis,CSURP1917,Bacteroidetes,NS,,X,,,,,,,,1
Negativicoccus massiliensis,CSURP2082,Firmicutes,NS,,,X,,,,,1,,2
Negativicoccus succinicivorans,CSURP1021,Firmicutes,H,,3,,,,,,,,4
Neglecta timonensis,CSURP2265,Firmicutes,NS,,,,X,,,,,,1
Neisseria canis,CSURP1391,Proteobacteria,H,,X,,,,,,,,1
Neisseria elongata,CSURP831,Proteobacteria,H,X,3,,,,,,,,4
Neisseria flavescens,CSURP1293,Proteobacteria,H,9,16,1,,,,,,,27
Neisseria gonorrhoeae,CSURP606,Proteobacteria,H(GUT),,X,,,,,,,,1
Neisseria macacae,CSURP882,Proteobacteria,H(GUT),7,6,,,,,,,,14
Neisseria meningitidis,Inprogress,Proteobacteria,H(GUT),,,,X,,,,,,1
Neisseria mucosa,CSURP619,Proteobacteria,H(GUT),2,3,,,,,,,,6
Neisseria perflava,ND,Proteobacteria,H,4,,,,,,,,,5
Neofamilia massiliensis,CSURP1998,Firmicutes,NS,,X,,,,,,,,1
Nesterenkonia massiliensis,CSURP244,Actinobacteria,NS,X,,,,,,,,,1
Niameyia massiliensis,CSURP1909,Firmicutes,NS,,X,,,,,,,,1
Nigerium massiliense,CSURP1302,Actinobacteria,NS,,X,,,,,,,,1
Nosocomiicoccus massiliensis,CSURP246,Firmicutes,NS,X,,,,,,,,,1
Numidum massiliense,CSURP1305,Firmicutes,NS,,X,,,,,,,,1
Oceanobacillus iheyensis,CSURP1365,Firmicutes,NH,,1,,,,,X,,,2
Oceanobacillus jeddahense,CSURP1091,Firmicutes,NS,,1,,,,,X,,,2
Oceanobacillus manasiensis,CSURP2542,Firmicutes,NH,,1,,,,,X,,,2
Oceanobacillus massiliensis,CSURP132,Firmicutes,NS,,1,,,,,1,,,3
Oceanobacillus oncorhynchi,CSURP973,Firmicutes,NH,,1,,,,,X,,,2
Oceanobacillus picturae,CSURP2543,Firmicutes,NH,,1,,,,,X,,,2
Oceanobacillus sojae,CSURP1102,Firmicutes,NH,,1,,,,,X,,,2
Ochrobactrum anthropi,CSURP818,Proteobacteria,H(GUT),,X,,1,,,,,,2
Ochrobactrum tritici,ND,Proteobacteria,NH,,,X,,,,,,,1
Odoribacter splanchnicus,CSURP862,Bacteroidetes,H(GUT),2,13,,2,,,,,,18
Oerskovia turbata,ND,Actinobacteria,H(GUT),,,,,,X,,,,1
Oligella urethralis,CSURP320,Proteobacteria,H(GUT),,X,,,,,,,,1
Olsenella massiliensis,CSURP1476,Actinobacteria,NS,,X,,,,,,1,,2
Olsenella phoceensis,CSURP2936,Actinobacteria,NS,,,,1,,,,,X,2
Olsenella provencensis,CSURP2912,Actinobacteria,NS,,,,,,,,,X,1
Olsenella timonensis,CSURP2300,Actinobacteria,NS,,,,X,,,,,,1
Olsenella uli,CSURP1078,Actinobacteria,H,,X,,1,,,,,,2
Ornithinibacillus contaminans,CSURP2075,Firmicutes,H,,X,,,,,,,,1
Oscilibacter massiliensis,CSURP2778,Firmicutes,NS,,X,,,,,,,,1
Pacaella massiliensis,CSURP2770,Synergistetes,NS,,,,X,,,,,,1
Paenibacillus abekawaensis,ND,Firmicutes,NH,,,,,,X,,,,1
Paenibacillus alvei,CSURP874,Firmicutes,H,,2,1,,,,,,,4
Paenibacillus amylolyticus,ND,Firmicutes,H,X,,,,,,,,,1
Paenibacillus anaericanus,CSURP2108,Firmicutes,NH,,,,,,X,,,,1
Paenibacillus antibioticophila,CSURP1358,Firmicutes,NS,,2,,,,,,,,3
Paenibacillus azoreducens,CSURP2080,Firmicutes,H(GUT),,X,,,,,,,,1
Paenibacillus barcinonensis,CSURP998,Firmicutes,H,,,1,,,,,,,2
Paenibacillus barengoltzii,CSURP1497,Firmicutes,NH,,13,,,,,1,,,15
Paenibacillus borealis,CSURP3069,Firmicutes,NH,,X,,,,,,,,1
Paenibacillus bouchesdurhonensis,CSURP3071,Firmicutes,NS,,X,,,,,,,,1
Paenibacillus cineris,CSURP1402,Firmicutes,NH,,,,,,X,,,,1
Paenibacillus dendritiformis,CSURP568,Firmicutes,NH,X,5,,,,,,,,6
Paenibacillus favisporus,CSURP1403,Firmicutes,NH,,X,,,,,,,,1
Paenibacillus glucanolyticus,CSURP871,Firmicutes,NH,3,5,,,,2,,,,11
Paenibacillus ihumii,CSURP1981,Firmicutes,NS,,,X,,,,,,,1
Paenibacillus illinoisensis,CSURP646,Firmicutes,NH,,X,,,,,,,,1
Paenibacillus jamilae,CSURP2278,Firmicutes,NH,,X,1,,,,,,,2
Paenibacillus lactis,CSURP0746,Firmicutes,NH,3,2,,,,,,,,6
Paenibacillus larvae,CSURP746,Firmicutes,H,,X,1,,,,,,,2
Paenibacillus lautus,CSURP1022,Firmicutes,H(GUT),,3,,,,,,,,4
Paenibacillus macerans,CSURP1405,Firmicutes,H,,X,,,,,,,,1
Paenibacillus marasmiensis,CSURP3069,Firmicutes,NS,,X,,,,,,,,1
Paenibacillus motobuensis,CSURP1455,Firmicutes,NH,,X,1,,,,,,,2
Paenibacillus naphthalenovorans,ND,Firmicutes,H,,X,,,,,,,,1
Paenibacillus numidis,CSURP1475,Firmicutes,NS,,X,,,,,,,,1
Paenibacillus odorifer,CSURP2009,Firmicutes,NH,,,,,,X,,,,1
Paenibacillus pabuli,ND,Firmicutes,NH,X,,,,,2,,,,3
Paenibacillus pasadenensis,ND,Firmicutes,H,X,,,,,,,,,1
Paenibacillus phoceensis,CSURP2238,Firmicutes,NS,,X,,,,,,,,1
Paenibacillus polymyxa,ND,Firmicutes,H,X,2,1,,,,,,,4
Paenibacillus provencensis,CSURP281,Firmicutes,H,1,,,,,2,,,,4
Paenibacillus pueri,CSURP1978,Firmicutes,NH,,1,1,,,,,,,3
Paenibacillus rhizosphaerae,CSURP1079,Firmicutes,NH,,2,,,,,,,,3
Paenibacillus rubiinfantis,CSURP2076,Firmicutes,NS,,X,,,,,,,,1
Paenibacillus senegalomassiliensis,CSURP2144,Firmicutes,NS,,X,,,,,,,,1
Paenibacillus stellifer,CSURP113,Firmicutes,NH,,,,,,X,,,,1
Paenibacillus thiaminolyticus,CSURP665,Firmicutes,H,6,14,,,,,1,,,22
Paenibacillus timonensis,CSURP284,Firmicutes,H,,4,,,,,,,,5
Paenibacillus touaregensis,CSURP2472,Firmicutes,NS,,X,,,,,,,,1
Paenibacillus typhae,CSURP2652,Firmicutes,NH,,,,X,,,,,,1
Paenibacillus tyraminigenes,CSURP999,Firmicutes,NH,,1,,,,,X,,,2
Paenibacillus urinalis,CSURP280,Firmicutes,H,X,,,,,,,,,1
Paenibacillus xylanilyticus,ND,Firmicutes,NH,,X,,,,,,,,1
Pantoea agglomerans,CSURP815,Proteobacteria,H(GUT),1,,,,,,,,,2
Pantoea calida,CSURP597,Proteobacteria,H,,X,,,,,,,,1
Pantoea septica,CSURP1370,Proteobacteria,H(GUT),,X,,,,,,,,1
Parabacteroides distasonis,CSURP876,Bacteroidetes,H(GUT),7,27,1,9,1,,,,1,47
Parabacteroides faecis,ND,Bacteroidetes,H(GUT),,X,,,,,,,,1
Parabacteroides goldsteinii,CSURP623,Bacteroidetes,H(GUT),1,5,1,,,,,,,8
Parabacteroides gordonii,CSURP3133,Bacteroidetes,H,,X,,,,,,,,1
Parabacteroides johnsonii,ND,Bacteroidetes,H(GUT),1,2,1,1,,,,,,6
Parabacteroides massiliense,CSURP2231,Bacteroidetes,H(GUT),,,,X,,,,,,1
Parabacteroides merdae,CSURP594,Bacteroidetes,H(GUT),2,7,,5,1,,,,,16
Paracoccus yeei,CSURP657,Proteobacteria,H(GUT),2,3,,,,,,,,6
Paraliobacillus massiliensis,CSURP975,Firmicutes,NS,,1,,,,,X,,,2
Paraliobacillus quinghaiensis,ND,Firmicutes,NH,,,1,,,,X,,,2
Paraprevotella clara,CSURP2647,Bacteroidetes,H(GUT),,,,,,,,,X,1
Parasutterella excrementihominis,CSURP2298,Proteobacteria,H(GUT),,,,X,,,,,,1
Parvimonas micra,CSURP875,Firmicutes,H(GUT),,1,,,,,,,,2
Paucisalibacillus globulus,CSURP1001,Firmicutes,NH,,1,,,,,X,,,2
Pediococcus acidilactici,CSURP618,Firmicutes,H(GUT),3,9,2,2,,2,,,,19
Pediococcus pentosaceus,CSURP826,Firmicutes,H(GUT),3,2,2,,,2,,,,1
Peptoniphilus asaccharolyticus,CSURP1050,Firmicutes,H(GUT),X,6,,,,,,,,7
Peptoniphilus duodenumensis,CSURP2932,Firmicutes,NS,,,,,,,,,X,1
Peptoniphilus gorbachii,CSURP1193,Firmicutes,H(GUT),X,2,,1,,,,,,4
Peptoniphilus grossensis,CSURP184,Firmicutes,NS,,8,,1,,,,,,1
Peptoniphilus harei,CSURP340,Firmicutes,H,3,11,1,,,,,,,16
Peptoniphilus koenoeneniae,CSURP2068,Firmicutes,H,,,,X,,,,,,1
Peptoniphilus lacriminalis,ND,Firmicutes,H,,,,X,,,,,,1
Peptoniphilus obesihominis,CSURP187,Firmicutes,NS,,3,,,,,,,,4
Peptoniphilus pacaensis,CSURP2270,Firmicutes,H,,X,,,,,,,,1
Peptoniphilus phoceensis,CSURP2183,Firmicutes,NS,,X,,,,,,,,1
Peptoniphilus senegalensis,CSURP154,Firmicutes,NS,,4,,1,,,,,,6
Peptoniphilus timonensis,CSURP165,Firmicutes,NS,1,,,,,,,,,2
Peptostreptococcus russellii,CSURP304,Proteobacteria,NH,,,,,,X,,,,1
Petrimonas sulfuriphila,CSURP1901,Bacteroidetes,NH,,X,,,,,,,,1
Phascalarctobacterium succinatutens,CSURP2443,Firmicutes,H(GUT),,,,X,,,,,,1
Phascolarctobacterium faecium,CSURP2297,Firmicutes,NH,,,,X,,,,,,1
Phocea massiliensis,CSURP2769,Firmicutes,NS,,,,X,,,,,,1
Planococcus massiliensis,CSURP1103,Firmicutes,NS,,,,,,,X,,,1
Planococcus rifietoensis,CSURP674,Firmicutes,NH,1,,,,,,,,,2
Planomicrobium okeanokoites,CSURP2029,Firmicutes,NH,,1,,,,,1,,,3
Polynesia massiliensis,CSURP1280,Firmicutes,NS,X,9,,6,,,,,,16
Porphyromonas bennonis,CSURP2839,Bacteroidetes,H,,,,X,,,,,,1
Prevotella bergensis,CSURP1918,Bacteroidetes,H,,X,,,,,,,,1
Prevotella buccae,CSURP1054,Bacteroidetes,H,,X,,,,,,,,1
Prevotella caccae,CSURP2931,Bacteroidetes,NS,,,,,,,,,X,1
Prevotella copri,CSURP1529,Bacteroidetes,H(GUT),X,,,1,,,,,,2
Prevotella corporis,CSURP2954,Bacteroidetes,H,,,,X,,,,,,1
Prevotella denticola,CSURP1023,Bacteroidetes,H(GUT),X,,,,,,,,,1
Prevotella intermedia,CSURP1056,Bacteroidetes,H(GUT),,,,,,,,,X,1
Prevotella jejuni,CSURP3104,Bacteroidetes,H(GUT),,,,,,,,,X,1
Prevotella melaninogenica,CSURP1057,Bacteroidetes,H(GUT),,2,,,,,,,,3
Prevotella oralis,ND,Bacteroidetes,H(GUT),,,,,,,,,X,1
Prevotella phoceensis,CSURP2259,Bacteroidetes,NS,,,,X,,,,,,1
Prevotella provencensis,Inprogress,Bacteroidetes,H,X,,,,,,,,,1
Prevotella veroralis,CSURP823,Bacteroidetes,H(GUT),1,,,,,,,,,2
Prevotellamassilia timonensis,CSURP2831,Bacteroidetes,NS,,,,X,,,,,,1
Propionibacterium acidifaciens,CSURP261,Actinobacteria,H,X,,,,,,,,,1
Propionibacterium acidipropionici,CSURP1369,Actinobacteria,NH,,X,1,,,,,,,2
Propionibacterium acnes,CSURP637,Actinobacteria,H(GUT),9,42,2,2,,,,,,56
Propionibacterium avidum,CSURP872,Actinobacteria,H(GUT),1,5,1,,,2,,,,1
Propionibacterium granulosum,CSURP1081,Actinobacteria,H(GUT),1,2,,,,,,,,4
Propionimicrobium lymphophilum,CSURP108,Actinobacteria,H,,X,,,,,,,,1
Proteus mirabilis,CSURP212,Proteobacteria,H(GUT),3,9,2,2,,2,,,,19
Proteus penneri,CSURP1233,Proteobacteria,H(GUT),X,,1,,,,,,,2
Proteus vulgaris,CSURP382,Proteobacteria,H(GUT),2,4,2,,,,,,,9
Provencella massiliensis,CSURP2780,Firmicutes,NS,,X,,,,,,,,1
Providencia alcalifaciens,CSURP807,Proteobacteria,H(GUT),,X,,,,,,,,1
Providencia heimbachae,CSURP1157,Proteobacteria,H(GUT),,X,,,,,,,,1
Providencia rettgeri,ND,Proteobacteria,H(GUT),,,,X,,,,,,1
Providencia stuartii,CSURP1002,Proteobacteria,H(GUT),,X,,,,,,,,1
Pseudochrobactrum asaccharolyticum,CSURP704,Proteobacteria,H,X,,,,,,,,,1
Pseudoclavibacter alba,CSURP2081,Actinobacteria,NH,,,X,,,2,,,,3
Pseudomonas aeruginosa,CSURP211,Proteobacteria,H(GUT),,5,2,6,1,2,,,,17
Pseudomonas alcaligenes,CSURP738,Proteobacteria,H,,,,,,X,,,,1
Pseudomonas bauzanensis,CSURP1436,Proteobacteria,NH,,X,,,,,,,,1
Pseudomonas boreopolis,ND,Proteobacteria,NH,,,,,,,,,X,1
Pseudomonas caricapapayae,CSURP1507,Proteobacteria,NH,,X,,,,,,,,1
Pseudomonas chlororaphis,CSURP1896,Proteobacteria,H,,,,,X,,,,,1
Pseudomonas fluorescens,CSURP2077,Proteobacteria,H(GUT),,,,,X,,,,,1
Pseudomonas fragi,CSURP1897,Proteobacteria,NH,X,,,,,2,,,,3
Pseudomonas fulva,CSURP1024,Proteobacteria,H(GUT),X,,,,,2,,,,3
Pseudomonas gessardii,ND,Proteobacteria,NH,,,,,1,,,,,2
Pseudomonas halophila,CSURP979,Proteobacteria,NH,,,,,,,X,,,1
Pseudomonas japonica,ND,Proteobacteria,NH,X,,,,,,,,,1
Pseudomonas libanensis,ND,Proteobacteria,NH,X,,,,,,,,,1
Pseudomonas lundensis,CSURP1893,Proteobacteria,NH,X,,,,,,,,,1
Pseudomonas luteola,CSURP695,Proteobacteria,H(GUT),2,3,1,,,,,,,7
Pseudomonas massiliensis,CSURP1334,Proteobacteria,NS,,X,,,,,,,,1
Pseudomonas migulae,ND,Proteobacteria,NH,,X,,,,,,,,1
Pseudomonas monteilii,ND,Proteobacteria,H,X,,,,,,,,,1
Pseudomonas mosselii,CSURP1351,Proteobacteria,H(GUT),X,,1,,,,,,,2
Pseudomonas oryzihabitans,CSURP854,Proteobacteria,H(GUT),4,3,,,,,,,,8
Pseudomonas putida,CSURP660,Proteobacteria,H(GUT),X,2,2,,,,,,,5
Pseudomonas rhodesiae,CSURP1314,Proteobacteria,H,,,,,X,,,,,1
Pseudomonas stutzeri,CSURP756,Proteobacteria,H(GUT),4,7,1,3,,,,,,16
Pseudomonas taetrolens,CSURP1895,Proteobacteria,NH,X,,,,,2,,,,3
Pseudomonas tolaasii,ND,Proteobacteria,NH,,,,,X,,,,,1
Pseudomonas xanthomarina,CSURP1313,Proteobacteria,NH,X,5,1,,,,,,,7
Pseudoramibacter alactolyticus,CSURP2914,Firmicutes,H,,,,,,,,,X,1
Psychrobacter faecalis,CSURP1271,Proteobacteria,NH,,,,,,,X,,,1
Psychrobacter phenylpyruvicus,ND,Proteobacteria,H,,,,,,X,,,,1
Psychrobacter pulmonis,CSURP1298,Proteobacteria,NH,,X,,,,,,,,1
Pyramidobacter piscolens,CSURP2428,Synergistetes,H(GUT),,,,,,,,,X,1
Raoultella ornithinolytica,CSURP1025,Proteobacteria,H(GUT),X,2,,,,1,,,,4
Raoultella planticola,ND,Proteobacteria,H(GUT),,,,,,X,,,,1
Raoultibacter massiliensis,CSURP2849,Actinobacteria,NS,,X,,,,,,,,1
Rhizobacterium radiobacter,CSURP440,Proteobacteria,H(GUT),,,,,,X,,,,1
Rhodococcus erythropolis,CSURP1386,Actinobacteria,H,,X,,,,,,,,1
Rhodococcus rhodochrous,CSURP1273,Actinobacteria,H(GUT),,1,,2,,,,,,4
Robinsoniella peoriensis,CSURP1158,Firmicutes,H(GUT),,X,,,,,,,,1
Romboutsia lituseburensis,CSURP841,Firmicutes,H(GUT),,1,1,,,,,,,12
Romboutsia massiliensis,ND,Firmicutes,NH,,,,,,,,,X,1
Romboutsia timonensis,CSURP326,Firmicutes,NS,,,,,,,,,X,1
Roseomonas genomospecies,ND,Proteobacteria,H(GUT),X,,,,,,,,,1
Roseomonas gilardii,ND,Proteobacteria,H(GUT),,,,X,,,,,,1
Roseomonas mucosa,CSURP774,Proteobacteria,H(GUT),2,1,,,,,,,,4
Rothia aeria,CSURP667,Actinobacteria,H(GUT),6,8,,1,,,,,,16
Rothia dentocariosa,CSURP930,Actinobacteria,H(GUT),5,5,,,,,,,1,12
Rothia mucilaginosa,CSURP730,Actinobacteria,H(GUT),4,4,,2,,,,,,11
Rothia terrae,ND,Actinobacteria,NH,,,X,,,,,,,1
Rubeoparvulum massiliense,CSURP1473,Firmicutes,NS,,X,,,,,,,,1
Rubiinfantum massiliense,CSURP2452,Firmicutes,NS,,X,,,,,,,,1
Ruminiclostridium massiliense,CSURP2976,Firmicutes,NS,,,,,,,,,X,1
Ruminococcus gauvreauii,CSURP2777,Firmicutes,H(GUT),,X,,,,,,,,1
Ruminococcus gnavus,ND,Firmicutes,H(GUT),X,14,1,,,,,,,16
Ruminococcus massiliensis,ND,Firmicutes,NS,,,,,,,,,1,2
Ruminococcus obeum,CSURP1452,Firmicutes,H(GUT),,X,,,,,,,,1
Ruminococcus phoceensis,CSURP2086,Firmicutes,NS,,,X,,,,,1,,2
Ruminococcus timonensis,CSURP328,Firmicutes,newspe,,,,,,,,,X,1
Rummeliibacillus pycnus,CSURP819,Firmicutes,NH,,X,,,,,,,,1
Rummeliibacillus suwonensis,CSURP3200,Firmicutes,NH,,X,,,,,,,,1
Rummeliibacilus stabekisii,CSURP1444,Firmicutes,NH,,,,,,X,,,,1
Salimicrobium jeotgali,CSURP2479,Firmicutes,NH,,,,,,,X,,,1
Salinisphaera halophila,CSURP978,Proteobacteria,NH,,X,,,,,,,,1
Salinivibrio costicola,ND,Proteobacteria,NH,,,,,,,X,,,1
Salmonella enterica,CSURP1083,Proteobacteria,H(GUT),,5,1,,,,,,,7
Salmonella enteritidis,ND,Proteobacteria,H(GUT),,,,X,,,,,,1
Salmonella typhi,CSURP624,Proteobacteria,H(GUT),X,1,,,,,,,,2
Sanguibacteroides massiliense,CSURP2099,Bacteroidetes,NS,,X,,,,,,,,1
Sarcina ventriculi,CSURP1026,Firmicutes,H(GUT),,,,,,,,X,,1
Selenomonas sputigena,ND,Firmicutes,H,,,,,,,,,X,1
Senegalia massiliensis,CSURP2130,Firmicutes,NS,,X,,,,,,,,1
Senegalimassilia anaerobia,CSURP147,Actinobacteria,NS,,,,1,,,,,,2
Serratia marcescens,CSURP587,Proteobacteria,H,X,4,2,2,,2,,,,11
Serratia ureilytica,CSURP1249,Proteobacteria,H,,X,,,,,,,,1
Shewanella xiamenensis,CSURP2223,Proteobacteria,H,,,X,,,,,,,1
Shigella boydii,ND,Proteobacteria,H(GUT),,,X,,,,,,,1
Shigella flexneri,ND,Proteobacteria,H(GUT),,,,X,,,,,,1
Shigella sonnei,ND,Proteobacteria,H(GUT),,,X,,,,,,,1
Slackia exigua,CSURP1160,Actinobacteria,H,,X,,,1,,,,,2
Solibacillus silvestris,CSURP2017,Firmicutes,NH,,,,X,,1,,,,2
Solobacterium moorei,CSURP1161,Firmicutes,H(GUT),,,,,,,,,X,1
