Phylum,Class-Order,Family,Species,Reference,Genome sequence
Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus vitulinus,"(Dubourg et al., 2013)",none
Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus warneri,"(Macfarlane et al., 2004)",NC_020164.1
Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus xylosus,"(Lagier et al., 2012)",NZ_ANMR01000043.1
Firmicutes,Bacilli-Lactobacillales,Aerococcaceae,Abiotrophia defectiva,"(Lagier et al., 2012)",NZ_KI535342.1
Firmicutes,Bacilli-Lactobacillales,Aerococcaceae,Abiotrophia para-adiacens,"(Bik et al., 2006)",none
Firmicutes,Bacilli-Lactobacillales,Aerococcaceae,Aerococcus viridans,"(Lagier et al., 2012)",NZ_AJTG01000006.1
Firmicutes,Bacilli-Lactobacillales,Aerococcaceae,Facklamia tabacinasalis,"(Pfleiderer et al., 2013)",none
Firmicutes,Bacilli-Lactobacillales,Carnobacteriaceae,Granulicatella adiacens,"(Lagier et al., 2012)",GG694015.1
Firmicutes,Bacilli-Lactobacillales,Carnobacteriaceae,Granulicatella elegans,"(Walker et al., 2011)",NZ_KI391971.1
Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus asini,"(Lagier et al., 2012)",ASVU01000001.1
Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus avium,"(Littel & Hartman, 1983)",NZ_KE136362.1
Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus caccae,"(Carvalho et al., 2006)",NZ_KB946332.1
Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus casseliflavus,"(Gelsomino et al., 2003)",NC_020995.1
Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus cecorum,"(Lagier et al., 2012)",NZ_KI535313.1
Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus dispar,"(Lagier et al., 2012)",NZ_KE136354.1
Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus durans,"(Alston, 1928)",NZ_KE136512.1
Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus faecalis,"(Andrewes & Horder, 1906)",NC_004668.1
Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus faecium,"(Finegold et al., 1974)",NC_017960.1
Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus gallinarum,"(Collins et al., 1984)",GG670289.1
Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus hirae,"(Robredo et al., 2000)",NC_018081.1
Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus phoeniculicola,"(Lagier et al., 2012)",NZ_KB946327.1
Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus pseudoavium,"(Woodmansey et al., 2004)",none
Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus saccharolyticus,"(Pfleiderer et al., 2013)",NZ_KE136523.1
Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Tetragenococcus solitarius,"(Woodmansey et al., 2004)",none
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus acidophilus,"(Moro, 1900)",NC_015214.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus alimentarius,"(Macfarlane et al., 2004)",none
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus amylovorus,"(Mitsuoka, 1969)",NC_017470.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus animalis,"(Macfarlane et al., 2004)",NZ_GL573157.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus antri,"(Mitsuoka, 1969)",NZ_GG700733.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus brevis,"(Benno et al., 1989)",NC_008497.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus buchneri,"(Mitsuoka et al., 1975)",NC_015428.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus casei,"(Moore & Holdeman, 1974)",NC_008526.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus coleohominis,"(Li et al., 2012)",GG698802.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus coryniformis,"(Woodmansey et al., 2004)",NZ_GL544629.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus crispatus,"(Finegold et al., 1977)",NC_014106.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus curvatus,"(Woodmansey et al., 2004)",NZ_AGBU01000002.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus delbrueckii,"(Finegold et al., 1974)",NC_008529.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus fermentum,"(Moore & Holdeman, 1974)",NC_017465.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus gasseri,"(Benno et al., 1989)",NC_008530.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus gastricus,"(Roos et al., 2005)",NZ_AICN01000049.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus helveticus,"(Finegold et al., 1977)",NC_018528.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus iners,"(McLaughlin et al., 2010)",NZ_GL622333.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus jensenii,"(Carlsson & Gothefors, 1975)",NZ_GL545251.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus johnsonii,"(Reuter, 2001)",NC_013504.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus kalixensis,"(Roos et al., 2005)",none
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus leichmanii,"(Moore & Holdeman, 1974)",none
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus mucosae,"(Decroos et al., 2005)",NZ_AHIT01000012.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus oris,"(Reuter, 2001)",NZ_AEKL01000060.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus parabuchneri,"(Dal Bello & Hertel, 2006)",none
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus paracasei,"(Dal Bello & Hertel, 2006)",NC_022112.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus pentosus,"(Dal Bello & Hertel, 2006)",NZ_CM001538.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus plantarum,"(Finegold et al., 1974)",NC_014554.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus reuteri,"(Benno et al., 1989)",NC_010609.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus rhamnosus,"(Dal Bello & Hertel, 2006)",NC_013198.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus ruminis,"(Lerche & Reuter, 1961)",NC_015975.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus sakei,"(Dal Bello & Hertel, 2006)",NC_007576.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus salivarius,"(Moore & Holdeman, 1974)",NC_007929.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus saniviri,"(Oki et al., 2012)",none
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus senioris,"(Oki et al., 2012)",none
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus sharpeae,"(Woodmansey et al., 2004)",none
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus ultunensis,"(Roos et al., 2005)",NZ_GG693253.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus vaginalis,"(Dal Bello & Hertel, 2006)",NZ_GG693412.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Pediococcus acidilactici,"(Barros et al., 2001)",NZ_GL397067.1
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Pediococcus damnosus,"(Pfleiderer et al., 2013)",none
Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Pediococcus pentosaceus,"(Dal Bello & Hertel, 2006)",NC_022780.1
Firmicutes,Bacilli-Lactobacillales,Leuconostocaceae,Leuconostoc argentinium/lactis,"(Heilig et al., 2002)",NZ_AEGQ01000026.1
Firmicutes,Bacilli-Lactobacillales,Leuconostocaceae,Leuconostoc gelidum,"(Lagier et al., 2012)",NC_018631.1
Firmicutes,Bacilli-Lactobacillales,Leuconostocaceae,Leuconostoc mesenteroides,"(Dal Bello & Hertel, 2006)",NC_016805.1
Firmicutes,Bacilli-Lactobacillales,Leuconostocaceae,Weissella cibaria,"(Bjorkroth et al., 2002)",NZ_AEKT01000020.1
Firmicutes,Bacilli-Lactobacillales,Leuconostocaceae,Weissella confusa,"(Bjorkroth et al., 2002)",NZ_CAGH01000001.1
Firmicutes,Bacilli-Lactobacillales,Leuconostocaceae,Weissella paramesenteroides,"(Lagier et al., 2012)",NZ_GG697129.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Lactococcus garvieae,"(Lagier et al., 2012)",NC_015930.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Lactococcus lactis,"(Finegold et al., 1974)",NC_002662.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Lactococcus plantarum,"(Woodmansey et al., 2004)",none
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Lactococcus raffinolactis,"(Dubourg et al., 2013)",CALL01000040.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus agalactiae,"(Finegold et al., 1974)",NC_021195.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus alactolyticus,"(Lagier et al., 2012)",none
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus anginosus,"(Whiley et al., 1992)",NC_022239.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus australis,"(Lagier et al., 2012)",NZ_GL636091.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus bovis,"(Finegold et al., 1974)",NZ_GL397128.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus constellatus,"(Holdeman & Moore, 1974)",NC_022238.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus cristatus,"(Bik et al., 2006)",NZ_GL732518.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus dysgalactiae,"(Finegold et al., 1974)",NC_022532.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus equi,"(Finegold et al., 1974)",NC_011134.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus equinus,"(Finegold et al., 1974)",NZ_GL698429.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus gallolyticus,"(Li et al., 2012)",NC_013798.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus gordonii,"(Lagier et al., 2012)",NC_009785.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus infantarius,"(Schlegel et al., 2000)",NC_016826.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus infantis,"(Lagier et al., 2012)",NZ_GL732439.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus intermedius,"(Holdeman & Moore, 1974)",NC_018073.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus lutetiensis,"(Schlegel et al., 2000; Poyart et al., 2002)",NC_021900.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus mitis,"(Finegold et al., 1974)",NC_013853.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus mutans,"(Finegold et al., 1977)",NC_004350.2
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus oralis,"(Baker et al., 2000)",NC_015291.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus parasanguinis,"(Whiley et al., 1990)",NC_017905.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus parauberis,"(Dubourg et al., 2013)",NC_015558.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus peroris,"(Lagier et al., 2012)",NZ_GL732463.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus pneumoniae,"(Lagier et al., 2012)",NC_008533.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus pseudopneumoniae,"(Lagier et al., 2012)",NC_015875.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus pyogenes,"(Finegold et al., 1974)",NC_003485.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus salivarius,"(Moore & Holdeman, 1974)",NC_017594.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus sanguinis,"(Finegold et al., 1974)",NC_009009.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus thermophilus,"(Finegold et al., 1974)",NC_006449.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus thoraltensis,"(Lagier et al., 2012)",NZ_KB904586  
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus uberis,"(Finegold et al., 1974)",NC_012004.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus vestibularis,"(Lagier et al., 2012)",NZ_GL831112.1
Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus viridans,"(Drasar & Hill, 1974)",none
Firmicutes,Clostridia-Clostridiales,Christensenellaceae,Christensenella minuta,"(Morotomi et al., 2012)",none
Firmicutes,Clostridia-Clostridiales,Christensenellaceae,Catabacter hongkongensis,"(Lau et al., 2007; Pfleiderer et al., 2013)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium acetobutylicum,"(Taylor et al., 1985)",NC_003030.1
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium anorexicamassiliense,"(Pfleiderer et al., 2013)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium baratii,"(Finegold et al., 1974)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium beijerinckii,"(Finegold et al., 1977)",NC_009617.1
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium botulinum,"(Finegold et al., 1974)",NC_009495.1
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium butyricum,"(Finegold et al., 1974)",NZ_ACOM01000005.1
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium cadaveris,"(Mitsuoka, 1992)",AUJL01000001.1
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium celatum,"(Hauschild & Holdeman, 1974)",NZ_KB291644.1
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium chartatabidum,"(Lagier et al., 2012)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium chauvoei,"(Pfleiderer et al., 2013)",NZ_CBML010000006.1
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium cochlearium,"(Finegold et al., 1974)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium disporicum,"(Ley et al., 2006)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium fallax,"(Finegold et al., 1974)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium felsineum,"(Drasar & Hill, 1974)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium limosum,"(Eggerth, 1935)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium malenominatum,"(Finegold et al., 1974)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium neonatale,"(Li et al., 2008)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium paraputrificum,"(Finegold et al., 1974)",AUJC01000001.1
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium perfringens,"(Passini, 1905)",NC_003366.1
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium putrefaciens,"(Finegold et al., 1974)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium saccharoperbutylacetonicum,"(Pfleiderer et al., 2013)",NC_020291.1
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium sardiniense,"(Woodmansey et al., 2004)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium sartagoforme,"(Finegold et al., 1974)",NZ_ASRV01000127.1
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium senegalense,"(Lagier et al., 2012)",NZ_HE611050.1
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium septicum,"(Finegold et al., 1974)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium sporogenes,"(Mitsuoka, 1992)",NZ_DS981517.1
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium subterminale,"(Taylor et al., 1985)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium tertium,"(Benno et al., 1989)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium tyrobutyricum,"(Taylor et al., 1985)",NZ_ARYO01000149.1
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium vincentii,"(Pfleiderer et al., 2013)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Eubacterium budayi,"(Finegold et al., 1977)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Eubacterium moniliforme,"(Distaso, 1911)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Eubacterium multiforme,"(Distaso, 1911)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Eubacterium nitritogenes,"(Finegold et al., 1974)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Sarcina maxima,"(Lagier et al., 2012)",none
Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Sarcina ventriculi,"(Finegold et al., 1977)",none
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Acetanaerobacterium elongatum,"(de Goffau et al., 2013)",none
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Anaerofilum pentosovorans,"(Lagier et al., 2012)",none
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Anaerotruncus colihominis,"(Lawson et al., 2004)",NZ_DS544185.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Butyricicoccus pullicaecorum,"(Eeckhaut et al., 2012)",NZ_KB976104.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Clostridium anorexicus (Intestinimonas butyriciproducens),"(Pfleiderer et al., 2013)",none
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Clostridium cellobioparum,"(Benno et al., 1989)",none
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Clostridium clariflavum," (Peris-Bondia et al., 2011)",NC_016627.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Clostridium leptum,"(Moore et al., 1976)",NZ_DS480349.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Clostridium methylpentosum,"(Himelbloom & Canale-Parola, 1989)",NZ_EQ973344.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Clostridium sporosphaeroides,"(Moore & Holdeman, 1974)",NZ_KB911066.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Clostridium viride,"(Zupancic et al., 2012)",none
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Eubacterium desmolans,"(Lagier et al., 2012)",none
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Eubacterium siraeum,"(Moore et al., 1976)",NC_021011.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Faecalibacterium prausnitzii,"(Moore & Holdeman, 1974; Duncan et al., 2002)",NC_021042.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Flavonifractor plautii,"(Winter et al., 1991; Carlier et al., 2010)",NZ_JH417810.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Gemmiger formicilis,"(Holdeman et al., 1976)",none
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Hydrogenoanaerobacterium saccharovorans,"(Peris-Bondia et al., 2011)",none
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Oscillibacter valericigenes,"(Lagier et al., 2012)",NC_016048.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Papillibacter cinnamivorans,"(Lagier et al., 2012)",none
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Pseudoflavonifractor capillosus,"(Moore & Holdeman, 1974; Carlier et al., 2010)",AAXG02000010.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Ruminococcus albus,"(Moore & Holdeman, 1974)",NC_014833.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Ruminococcus bromii,"(Moore et al., 1972)",NC_021013.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Ruminococcus callidus,"(Holdeman & Moore, 1974)",KI260449.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Ruminococcus champanellensis,"(Chassard et al., 2011)",NC_021039.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Ruminococcus flavefaciens,"(Finegold et al., 1974)",NZ_ACOK01000119.1
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Soleaferrea massiliensis,"(Pfleiderer et al., 2013)",none
Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Subdoligranulum variabile,"(Holmstrom et al., 2004)",NZ_GG704769.1
Firmicutes,Clostridia-Clostridiales XI,Family XIII Incertae Sedis,Eubacterium brachy,"(Woodmansey et al., 2004)",NZ_KI535286.1
Firmicutes,Clostridia-Clostridiales XI,Family XIII Incertae Sedis,Eubacterium saphenum,"(Bik et al., 2006; Gill et al., 2006)",NZ_GG688422.1
Firmicutes,Clostridia-Clostridiales XI,Family XIII Incertae Sedis,Eubacterium sulci,"(Lagier et al., 2012)",none
Firmicutes,Clostridia-Clostridiales XI,Family XIII Incertae Sedis,Mogibacterium diversum,"(Lagier et al., 2012)",none
Firmicutes,Clostridia-Clostridiales XI,Family XIII Incertae Sedis,Mogibacterium neglectum,"(Bik et al., 2006)",none
Firmicutes,Clostridia-Clostridiales XI,Family XIII Incertae Sedis,Mogibacterium timidum,"(Woodmansey et al., 2004)",none
Firmicutes,Clostridia-Clostridiales XI,Family XIII Incertae Sedis,Mogibacterium vescum,"(Wang et al., 2005)",none
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Anoxynatronum sibiricum,"(Peris-Bondia et al., 2011)",none
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium difficile,"(Finegold et al., 1974)",NC_009089.1
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium bartlettii,"(Song et al., 2004)",NZ_DS499566.1
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium bifermentans,"(Finegold et al., 1974)",NZ_AVNC01000015.1
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium ghonii,"(Finegold et al., 1974)",none
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium glycolicum,"(Finegold et al., 1974)",NZ_KB892610  
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium hiranonis,"(Kitahara et al., 2001)",NZ_DS995356.1
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium irregulare,"(Finegold et al., 1974)",none
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium lituseburense,"(Lagier et al., 2012)",none
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium sordellii,"(Finegold et al., 1974)",NZ_APWR01000092.1
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium sticklandii,"(Benno et al., 1986)",NC_014614.1
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Eubacterium tenue,"(Distaso, 1911)",none
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Filifactor alocis,"(Woodmansey et al., 2004)",NC_016630.1
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Filifactor villosus,"(Lagier et al., 2012)",none
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Peptostreptococcus anaerobius,"(Benno et al., 1989)",NZ_ADJN01000015.1
Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Peptostreptococcus stomatis,"(Lagier et al., 2012)",NZ_ADGQ01000060.1
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Anaerococcus hydrogenalis,"(Ezaki et al., 1990; Ezaki et al., 1994)",NZ_AEXN01000032.1
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Anaerococcus obesiensis,"(Lagier et al., 2012)",none
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Anaerococcus octavius,"(Dubourg et al., 2013)",none
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Anaerococcus prevotii,"(Finegold et al., 1974; Ezaki et al., 2001)",NC_013171.1
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Anaerococcus senegalensis,"(Lagier et al., 2012)",JF824805.1
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Anaerococcus vaginalis,"(Mangin et al., 2004; Eckburg et al., 2005)",GG700527.1
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Bacteroides coagulans,"(Eggerth & Gagnon, 1933)",none
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Finegoldia magna,"(Finegold et al., 1974; Murdoch & Shah, 1999)",NC_010376.1
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Kallipyga massiliensis,"(Lagier et al., 2012)",CAHC01000003.1
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Parvimonas micra,"(Finegold et al., 1974)",NZ_DS483518.1
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Peptoniphilus asaccharolyticus,"(Distaso, 1912; Ezaki et al., 2001)",none
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Peptoniphilus grossensis,"(Lagier et al., 2012)",HE978566.1
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Peptoniphilus harei,"(Lagier et al., 2012)",NZ_AENP01000004.1
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Peptoniphilus indolicus,"(Benno et al., 1984; Ezaki et al., 2001)",NZ_JH165061.1
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Peptoniphilus lacrimalis,"(Walker et al., 2011)",NZ_KB900367.1
Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Peptoniphilus obesiensis,"(Lagier et al., 2012)",CAHB01000001.1
